Sat. Num,Sat. Name,Item #,Launch Date,Epoch Date,Epoch Time,SMA,eccentricity,inclination,RAAN,Arg. Perigee,True Anomaly,Period,Perigee Altitude,Apogee Altitude,Country,Purpose,Status
00132,THOR ABLESTAR D,19,1961-06-29,2018-11-21,4:29:22.482,7291.751,0.00820,66.6601,323.058,255.955,104.153,103.28,853.819,973.413,US,Unknown,Unknown,
00133,THOR ABLESTAR D,20,1961-06-29,2018-11-21,4:15:37.963,7210.294,0.00565,67.1170,9.433,185.781,174.328,101.55,791.427,872.891,US,Unknown,Unknown,
00134,THOR ABLESTAR D,21,1961-06-29,2018-11-21,12:37:52.137,7283.114,0.00795,66.8815,6.378,20.950,339.158,103.09,847.099,962.858,US,Unknown,Unknown,
00136,THOR ABLESTAR D,23,1961-06-29,2018-11-20,20:59:17.591,7158.941,0.00515,67.5286,137.477,20.024,340.087,100.47,743.966,817.647,US,Unknown,Unknown,
00138,THOR ABLESTAR D,25,1961-06-29,2018-11-20,16:34:9.176,7266.632,0.00289,67.1565,48.041,130.606,229.503,102.74,867.523,909.471,US,Unknown,Unknown,
00141,THOR ABLESTAR D,28,1961-06-29,2018-11-20,17:47:49.127,7318.250,0.00499,66.5895,336.369,47.649,312.458,103.84,903.620,976.610,US,Unknown,Unknown,
00144,THOR ABLESTAR D,31,1961-06-29,2018-11-21,5:33:36.326,7306.817,0.00469,66.5016,18.193,316.701,43.407,103.60,894.398,962.965,US,Unknown,Unknown,
00145,THOR ABLESTAR D,32,1961-06-29,2018-11-20,22:23:49.468,7267.647,0.00640,66.9283,25.276,177.418,182.691,102.77,843.020,936.005,US,Unknown,Unknown,
00147,THOR ABLESTAR D,34,1961-06-29,2018-11-21,4:41:1.693,7207.296,0.00593,66.6188,305.627,207.765,152.344,101.49,786.421,871.901,US,Unknown,Unknown,
00148,THOR ABLESTAR D,36,1961-06-29,2018-11-21,13:16:51.804,7253.075,0.01614,65.7736,142.065,284.420,75.689,102.46,757.845,992.034,US,Unknown,Unknown,
00150,THOR ABLESTAR D,38,1961-06-29,2018-11-21,4:9:36.722,7338.143,0.00578,66.2482,224.171,55.513,304.594,104.27,917.567,1002.448,US,Unknown,Unknown,
00152,THOR ABLESTAR D,40,1961-06-29,2018-11-20,22:10:56.959,7240.489,0.01612,66.5926,150.221,273.483,86.626,102.19,745.625,979.083,US,Unknown,Unknown,
00154,THOR ABLESTAR D,43,1961-06-29,2018-11-21,8:35:23.929,7256.809,0.00780,66.6587,266.033,113.797,246.311,102.54,822.083,935.265,US,Unknown,Unknown,
00155,THOR ABLESTAR D,44,1961-06-29,2018-11-21,12:40:13.771,7140.235,0.00526,66.8817,34.606,243.916,116.194,100.08,724.571,799.629,US,Unknown,Unknown,
00158,THOR ABLESTAR D,47,1961-06-29,2018-11-20,22:10:26.565,7779.707,0.06076,67.0725,209.382,122.001,238.095,113.82,928.849,1874.295,US,Unknown,Unknown,
00159,THOR ABLESTAR D,48,1961-06-29,2018-11-20,22:29:16.532,7632.336,0.03636,65.5249,222.270,133.220,226.882,110.60,976.703,1531.699,US,Unknown,Unknown,
00162,TIROS 3,1,1961-07-12,2018-11-20,21:35:19.337,7123.393,0.00449,47.9005,327.485,187.035,173.054,99.72,713.240,777.275,US,Earth Sci,Inactive,
00163,MIDAS 3,1,1961-07-12,2018-11-20,20:13:19.086,9822.281,0.01001,91.2100,83.072,309.604,50.483,161.46,3345.820,3542.472,US,Astronomy,Unknown,
00167,DELTA 1 DEB,4,1961-07-12,2018-11-20,21:5:42.284,7194.375,0.00924,47.8461,313.532,316.620,43.468,101.22,749.730,882.751,US,Unknown,Unknown,
00172,THOR ABLESTAR D,51,1961-06-29,2018-11-20,13:32:7.700,7423.521,0.01395,67.0697,6.873,228.531,131.575,106.09,941.804,1148.969,US,Unknown,Unknown,
00177,THOR ABLESTAR D,54,1961-06-29,2018-11-21,5:52:58.883,7225.733,0.01239,66.6687,58.955,224.921,135.188,101.88,758.102,937.095,US,Unknown,Unknown,
00178,THOR ABLESTAR D,55,1961-06-29,2018-11-21,4:32:15.707,7298.621,0.00789,66.8656,273.776,171.524,188.583,103.42,862.880,978.093,US,Unknown,Unknown,
00188,MIDAS 3 DEB,3,1961-07-12,2018-11-20,18:21:23.387,9807.794,0.01224,91.2053,85.729,188.438,171.648,161.11,3309.580,3549.738,US,Unknown,Unknown,
00192,MIDAS 4,1,1961-10-21,2018-11-21,3:54:19.941,10003.130,0.01410,95.8538,2.033,153.071,207.014,165.94,3483.929,3766.061,US,Astronomy,Unknown,
00194,MIDAS 4 DEB,3,1961-10-21,2018-11-20,14:19:24.423,9985.620,0.03708,95.8528,22.841,32.443,327.651,165.51,3237.240,3977.729,US,Unknown,Unknown,
00195,MIDAS 4 DEB,4,1961-10-21,2018-11-19,22:55:8.634,10019.705,0.01378,95.8598,345.074,229.774,130.311,166.36,3503.545,3779.594,US,Unknown,Unknown,
00196,MIDAS 3 DEB,4,1961-07-12,2018-11-20,18:54:55.321,9838.211,0.00981,91.2149,81.327,92.783,267.304,161.86,3363.544,3556.609,US,Unknown,Unknown,
